trip_id,route_id,service_id
VL_TRIP_298,VL_ROUTE_4,WEEKDAY
VL_TRIP_299,VL_ROUTE_4,WEEKDAY
VL_TRIP_300,VL_ROUTE_4,WEEKDAY
VL_TRIP_301,VL_ROUTE_4,WEEKDAY
VL_TRIP_302,VL_ROUTE_4,WEEKDAY
VL_TRIP_303,VL_ROUTE_5,WEEKDAY
VL_TRIP_304,VL_ROUTE_5,WEEKDAY
VL_TRIP_305,VL_ROUTE_5,WEEKDAY
VL_TRIP_306,VL_ROUTE_5,WEEKDAY
VL_TRIP_307,VL_ROUTE_5,WEEKDAY
VL_TRIP_308,VL_ROUTE_5,WEEKDAY
VL_TRIP_309,VL_ROUTE_5,WEEKDAY
VL_TRIP_310,VL_ROUTE_5,WEEKDAY
VL_TRIP_311,VL_ROUTE_5,WEEKDAY
VL_TRIP_312,VL_ROUTE_5,WEEKDAY
VL_TRIP_313,VL_ROUTE_5,WEEKDAY
VL_TRIP_314,VL_ROUTE_5,WEEKDAY
VL_TRIP_315,VL_ROUTE_5,WEEKDAY
VL_TRIP_316,VL_ROUTE_5,WEEKDAY
VL_TRIP_317,VL_ROUTE_5,WEEKDAY
VL_TRIP_318,VL_ROUTE_5,WEEKDAY
VL_TRIP_319,VL_ROUTE_5,WEEKDAY
VL_TRIP_320,VL_ROUTE_5,WEEKDAY
VL_TRIP_321,VL_ROUTE_5,WEEKDAY
VL_TRIP_322,VL_ROUTE_5,WEEKDAY
VL_TRIP_323,VL_ROUTE_5,WEEKDAY
VL_TRIP_324,VL_ROUTE_5,WEEKDAY
VL_TRIP_325,VL_ROUTE_5,WEEKDAY
VL_TRIP_326,VL_ROUTE_5,WEEKDAY
VL_TRIP_327,VL_ROUTE_5,WEEKDAY
VL_TRIP_328,VL_ROUTE_5,WEEKDAY
VL_TRIP_329,VL_ROUTE_5,WEEKDAY
VL_TRIP_330,VL_ROUTE_5,WEEKDAY
VL_TRIP_331,VL_ROUTE_5,WEEKDAY
VL_TRIP_332,VL_ROUTE_5,WEEKDAY
VL_TRIP_333,VL_ROUTE_5,WEEKDAY
VL_TRIP_334,VL_ROUTE_5,WEEKDAY
VL_TRIP_335,VL_ROUTE_5,WEEKDAY
VL_TRIP_336,VL_ROUTE_5,WEEKDAY
VL_TRIP_337,VL_ROUTE_5,WEEKDAY
VL_TRIP_338,VL_ROUTE_5,WEEKDAY
VL_TRIP_339,VL_ROUTE_5,WEEKDAY
VL_TRIP_340,VL_ROUTE_5,WEEKDAY
VL_TRIP_341,VL_ROUTE_5,WEEKDAY
VL_TRIP_342,VL_ROUTE_5,WEEKDAY
VL_TRIP_343,VL_ROUTE_5,WEEKDAY
VL_TRIP_344,VL_ROUTE_5,WEEKDAY
VL_TRIP_345,VL_ROUTE_5,WEEKDAY
VL_TRIP_346,VL_ROUTE_5,WEEKDAY
VL_TRIP_347,VL_ROUTE_5,WEEKDAY
VL_TRIP_348,VL_ROUTE_5,WEEKDAY
VL_TRIP_349,VL_ROUTE_5,WEEKDAY
VL_TRIP_350,VL_ROUTE_5,WEEKDAY
VL_TRIP_351,VL_ROUTE_5,WEEKDAY
VL_TRIP_352,VL_ROUTE_5,WEEKDAY
VL_TRIP_353,VL_ROUTE_5,WEEKDAY
VL_TRIP_354,VL_ROUTE_5,WEEKDAY
VL_TRIP_355,VL_ROUTE_5,WEEKDAY
VL_TRIP_356,VL_ROUTE_5,WEEKDAY
VL_TRIP_357,VL_ROUTE_5,WEEKDAY
VL_TRIP_358,VL_ROUTE_5,WEEKDAY
VL_TRIP_359,VL_ROUTE_5,WEEKDAY
VL_TRIP_360,VL_ROUTE_5,WEEKDAY
VL_TRIP_361,VL_ROUTE_5,WEEKDAY
VL_TRIP_362,VL_ROUTE_5,WEEKDAY
VL_TRIP_363,VL_ROUTE_5,WEEKDAY
VL_TRIP_364,VL_ROUTE_5,WEEKDAY
VL_TRIP_365,VL_ROUTE_5,WEEKDAY
VL_TRIP_366,VL_ROUTE_5,WEEKDAY
VL_TRIP_367,VL_ROUTE_5,WEEKDAY
VL_TRIP_368,VL_ROUTE_5,WEEKDAY
VL_TRIP_369,VL_ROUTE_5,WEEKDAY
VL_TRIP_370,VL_ROUTE_5,WEEKDAY
VL_TRIP_371,VL_ROUTE_5,WEEKDAY
VL_TRIP_372,VL_ROUTE_5,WEEKDAY
VL_TRIP_373,VL_ROUTE_5,WEEKDAY
VL_TRIP_374,VL_ROUTE_5,WEEKDAY
VL_TRIP_375,VL_ROUTE_5,WEEKDAY
VL_TRIP_376,VL_ROUTE_5,WEEKDAY
VL_TRIP_377,VL_ROUTE_5,WEEKDAY
VL_TRIP_378,VL_ROUTE_5,WEEKDAY
VL_TRIP_379,VL_ROUTE_5,WEEKDAY
VL_TRIP_380,VL_ROUTE_5,WEEKDAY
VL_TRIP_381,VL_ROUTE_5,WEEKDAY
VL_TRIP_382,VL_ROUTE_5,WEEKDAY
VL_TRIP_383,VL_ROUTE_5,WEEKDAY
VL_TRIP_384,VL_ROUTE_5,WEEKDAY
VL_TRIP_385,VL_ROUTE_5,WEEKDAY
VL_TRIP_386,VL_ROUTE_5,WEEKDAY
VL_TRIP_387,VL_ROUTE_5,WEEKDAY
VL_TRIP_388,VL_ROUTE_5,WEEKDAY
VL_TRIP_389,VL_ROUTE_5,WEEKDAY
VL_TRIP_390,VL_ROUTE_5,WEEKDAY
VL_TRIP_391,VL_ROUTE_5,WEEKDAY
VL_TRIP_392,VL_ROUTE_5,WEEKDAY
VL_TRIP_393,VL_ROUTE_5,WEEKDAY
VL_TRIP_394,VL_ROUTE_5,WEEKDAY
VL_TRIP_395,VL_ROUTE_5,WEEKDAY
VL_TRIP_396,VL_ROUTE_5,WEEKDAY
VL_TRIP_397,VL_ROUTE_5,WEEKDAY
VL_TRIP_398,VL_ROUTE_5,WEEKDAY
VL_TRIP_399,VL_ROUTE_5,WEEKDAY
VL_TRIP_400,VL_ROUTE_5,WEEKDAY
VL_TRIP_401,VL_ROUTE_5,WEEKDAY
VL_TRIP_402,VL_ROUTE_5,WEEKDAY
VL_TRIP_403,VL_ROUTE_5,WEEKDAY
VL_TRIP_404,VL_ROUTE_5,WEEKDAY
VL_TRIP_405,VL_ROUTE_5,WEEKDAY
VL_TRIP_406,VL_ROUTE_5,WEEKDAY
VL_TRIP_407,VL_ROUTE_5,WEEKDAY
VL_TRIP_408,VL_ROUTE_5,WEEKDAY
VL_TRIP_409,VL_ROUTE_5,WEEKDAY
VL_TRIP_410,VL_ROUTE_5,WEEKDAY
BUS_TRIP_1,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_2,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_3,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_4,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_5,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_6,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_7,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_8,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_9,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_10,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_11,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_12,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_13,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_14,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_15,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_16,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_17,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_18,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_19,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_20,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_21,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_22,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_23,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_24,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_25,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_26,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_27,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_28,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_29,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_30,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_31,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_32,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_33,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_34,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_35,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_36,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_37,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_38,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_39,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_40,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_41,BUS_ROUTE_1,WEEKDAY
