stop_id,stop_name,stop_lat,stop_lon
ST_415,"VlakIDOL26, Návarov",,
ST_416,"VlakIDOL26, Nedvězí",,
ST_417,"VlakIDOL26, Nová Huť v Luž.horách",,
ST_418,"VlakIDOL26, Nová Paka",,
ST_419,"VlakIDOL26, Nová Paka město",,
ST_420,"VlakIDOL26, Nová Ves n.Nisou",,
ST_421,"VlakIDOL26, Nová Ves n.Popelkou",,
ST_422,"VlakIDOL26, Nové Město p.Smrkem",,
ST_423,"VlakIDOL26, Novina",,
ST_424,"VlakIDOL26, Nový Bor",,
ST_425,"VlakIDOL26, Okna",,
ST_426,"VlakIDOL26, Oldřichov v Hájích",,
ST_427,"VlakIDOL26, Ostašov",,
ST_428,"VlakIDOL26, Pertoltice p.Ralskem",,
ST_429,"VlakIDOL26, Pilínkov",,
ST_430,"VlakIDOL26, Plavy",,
ST_431,"VlakIDOL26, Ploskovice",,
ST_432,"VlakIDOL26, Ploužnice",,
ST_433,"VlakIDOL26, Podhůří",,
ST_434,"VlakIDOL26, Poniklá",,
ST_435,"VlakIDOL26, Poniklá zast.",,
ST_436,"VlakIDOL26, Proseč n.Nisou",,
ST_437,"VlakIDOL26, Příšovice",,
ST_438,"VlakIDOL26, Rádlo",,
ST_439,"VlakIDOL26, Raspenava",,
ST_440,"VlakIDOL26, Rokytnice n.Jizerou",,
ST_441,"VlakIDOL26, Rovensko p.Troskami",,
ST_442,"VlakIDOL26, Roztoky u Jilemnice",,
ST_443,"VlakIDOL26, Rumburk",,
ST_444,"VlakIDOL26, Rybniště",,
ST_445,"VlakIDOL26, Rychnov u Jabl.n.Nisou",,
ST_446,"VlakIDOL26, Rynoltice",,
ST_447,"VlakIDOL26, Řasnice",,
ST_448,"VlakIDOL26, Řasnice zast.",,
ST_449,"VlakIDOL26, Sedlejovice",,
ST_450,"VlakIDOL26, Semily",,
ST_451,"VlakIDOL26, Semínova Lhota",,
ST_452,"VlakIDOL26, Skalice u Čes.Lípy",,
ST_453,"VlakIDOL26, Smržovka",,
ST_454,"VlakIDOL26, Smržovka dolní n.",,
ST_455,"VlakIDOL26, Smržovka střed",,
ST_456,"VlakIDOL26, Smržovka-Luční",,
ST_457,"VlakIDOL26, Spálov",,
ST_458,"VlakIDOL26, Srní u Čes.Lípy",,
ST_459,"VlakIDOL26, Stará Paka",,
ST_460,"VlakIDOL26, Staré Splavy",,
ST_461,"VlakIDOL26, Starý Šachov",,
ST_462,"VlakIDOL26, Stráž n.Nisou",,
ST_463,"VlakIDOL26, Stružnice",,
ST_464,"VlakIDOL26, Stvolínky",,
ST_465,"VlakIDOL26, Svor",,
ST_466,"VlakIDOL26, Sychrov",,
ST_467,"VlakIDOL26, Syřenov",,
ST_468,"VlakIDOL26, Tample",,
ST_469,"VlakIDOL26, Tanvald",,
ST_470,"VlakIDOL26, Tanvald zast.",,
ST_471,"VlakIDOL26, Tanvaldský Špičák",,
ST_472,"VlakIDOL26, Trnovany u Litoměřic",,
ST_473,"VlakIDOL26, Turnov",,
ST_474,"VlakIDOL26, Turnov město",,
ST_475,"VlakIDOL26, Ústí u Staré Paky",,
ST_476,"VlakIDOL26, Úštěk",,
ST_477,"VlakIDOL26, Velké Hamry",,
ST_478,"VlakIDOL26, Velké Hamry město",,
ST_479,"VlakIDOL26, Velký Grunov",,
ST_480,"VlakIDOL26, Velký Valtinov",,
ST_481,"VlakIDOL26, Vesec u Liberce",,
ST_482,"VlakIDOL26, Víchová n.Jizerou",,
ST_483,"VlakIDOL26, Višňová",,
ST_484,"VlakIDOL26, Vlčí Důl-Dobranov",,
ST_485,"VlakIDOL26, Vratislavice n.Nisou",,
ST_486,"VlakIDOL26, Vrchlabí",,
ST_487,"VlakIDOL26, Zahrádky u Čes.Lípy",,
ST_488,"VlakIDOL26, Zákupy-Božíkov",,
ST_489,"VlakIDOL26, Zdislava",,
ST_490,"VlakIDOL26, Zittau",,
ST_491,"VlakIDOL26, Zittau Gr.",,
ST_492,"VlakIDOL26, Žandov",,
ST_493,"VlakIDOL26, Železnice",,
ST_494,"VlakIDOL26, Železný Brod",,
ST_495,"VlakODIS26, Albrechtice u Č.Těš.",,
ST_496,"VlakODIS26, Amalín",,
ST_497,"VlakODIS26, Baška",,
ST_498,"VlakODIS26, Bělotín",,
ST_499,"VlakODIS26, Bílovec",,
ST_500,"VlakODIS26, Bocanovice (Boconowice)",,
ST_501,"VlakODIS26, Bohumín",,
ST_502,"VlakODIS26, Bohušov",,
ST_503,"VlakODIS26, Bolatice",,
ST_504,"VlakODIS26, Branka u Opavy",,
ST_505,"VlakODIS26, Brantice",,
ST_506,"VlakODIS26, Bruntál",,
ST_507,"VlakODIS26, Břidličná",,
ST_508,"VlakODIS26, Břidličná lesy",,
ST_509,"VlakODIS26, Břidličná zast.",,
ST_510,"VlakODIS26, Budišov n.Budišovkou",,
ST_511,"VlakODIS26, Bystřice (Bystrzyca)",,
ST_512,"VlakODIS26, Čeladná",,
ST_513,"VlakODIS26, Čermná ve Slezsku",,
ST_514,"VlakODIS26, Česká Ves",,
ST_515,"VlakODIS26, Česká Ves bazén",,
ST_516,"VlakODIS26, Český Těšín (Czeski Cieszyn)",,
ST_517,"VlakODIS26, Děhylov",,
ST_518,"VlakODIS26, Dětmarovice",,
ST_519,"VlakODIS26, Dětřichov n.Bystřicí",,
ST_520,"VlakODIS26, Dívčí Hrad",,
ST_521,"VlakODIS26, Dobrá u Frýdku-Místku",,
ST_522,"VlakODIS26, Dobratice-Vojkovice",,
ST_523,"VlakODIS26, Dolní Benešov",,
ST_524,"VlakODIS26, Dolní Benešov-Zábřeh",,
ST_525,"VlakODIS26, Dolní Lutyně",,
ST_526,"VlakODIS26, Domašov n.Bystřicí",,
ST_527,"VlakODIS26, Frenštát p.Radhoštěm",,
ST_528,"VlakODIS26, Frenštát p.Radhoštěm město",,
ST_529,"VlakODIS26, Frýdek-Místek",,
ST_530,"VlakODIS26, Frýdlant n.Ostr.",,
ST_531,"VlakODIS26, Frýdlant n.Ostr.-N.Dědina",,
ST_532,"VlakODIS26, Frýdlant n.Ostr.zast.",,
ST_533,"VlakODIS26, Fulnek",,
ST_534,"VlakODIS26, Glucholazy",,
ST_535,"VlakODIS26, Glucholazy Gr.",,
ST_536,"VlakODIS26, Háj ve Slezsku",,
ST_537,"VlakODIS26, Havířov",,
ST_538,"VlakODIS26, Havířov střed",,
ST_539,"VlakODIS26, Havířov-Suchá",,
ST_540,"VlakODIS26, Heřmánky",,
ST_541,"VlakODIS26, Hladké Životice",,
ST_542,"VlakODIS26, Hladké Životice m.n.",,
ST_543,"VlakODIS26, Hlubočky-Mar.Údolí",,
ST_544,"VlakODIS26, Hlučín",,
ST_545,"VlakODIS26, Hnojník",,
ST_546,"VlakODIS26, Holasovice",,
ST_547,"VlakODIS26, Horní Povelice",,
ST_548,"VlakODIS26, Horní Suchá",,
ST_549,"VlakODIS26, Horní Tošanovice",,
ST_550,"VlakODIS26, Hostašovice",,
ST_551,"VlakODIS26, Hradec n.Moravicí",,
ST_552,"VlakODIS26, Hradec-Nová Ves",,
ST_553,"VlakODIS26, Hrádek (Gródek)",,
ST_554,"VlakODIS26, Hranice na Moravě",,
ST_555,"VlakODIS26, Chotěbuz (Kocobedz)",,
ST_556,"VlakODIS26, Chuchelná",,
ST_557,"VlakODIS26, Jakubčovice n.Odrou",,
ST_558,"VlakODIS26, Jamartice",,
ST_559,"VlakODIS26, Jeseník",,
ST_560,"VlakODIS26, Jeseník n.Odrou",,
ST_561,"VlakODIS26, Jilešovice",,
ST_562,"VlakODIS26, Jindřichov ve Slezsku",,
ST_563,"VlakODIS26, Jindřichov ve Slezsku Gr.",,
ST_564,"VlakODIS26, Jistebník",,
ST_565,"VlakODIS26, Karlovice",,
ST_566,"VlakODIS26, Karlovice zast.",,
ST_567,"VlakODIS26, Karviná hl.n.",,
ST_568,"VlakODIS26, Klokočov",,
ST_569,"VlakODIS26, Koberno",,
ST_570,"VlakODIS26, Kopřivnice",,
ST_571,"VlakODIS26, Kopřivnice zast.",,
ST_572,"VlakODIS26, Kozmice",,
ST_573,"VlakODIS26, Krásné Loučky",,
ST_574,"VlakODIS26, Kravaře ve Slezsku",,
ST_575,"VlakODIS26, Kravaře-Kouty",,
ST_576,"VlakODIS26, Krnov",,
